"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","t"
"22624","04/06/2020",4,6,2020,39,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-04
"22623","05/06/2020",5,6,2020,39,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-05
"22622","06/06/2020",6,6,2020,51,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-06
"22621","07/06/2020",7,6,2020,57,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-07
"22620","08/06/2020",8,6,2020,38,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-08
"22619","09/06/2020",9,6,2020,38,1,"South_Korea","KR","KOR",51225321,"Asia",2020-06-09
"22618","10/06/2020",10,6,2020,50,2,"South_Korea","KR","KOR",51225321,"Asia",2020-06-10
"22617","11/06/2020",11,6,2020,45,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-11
"22616","12/06/2020",12,6,2020,56,1,"South_Korea","KR","KOR",51225321,"Asia",2020-06-12
"22615","13/06/2020",13,6,2020,48,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-13
"22614","14/06/2020",14,6,2020,33,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-14
"22613","15/06/2020",15,6,2020,37,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-15
"22612","16/06/2020",16,6,2020,34,1,"South_Korea","KR","KOR",51225321,"Asia",2020-06-16
"22611","17/06/2020",17,6,2020,43,1,"South_Korea","KR","KOR",51225321,"Asia",2020-06-17
"22610","18/06/2020",18,6,2020,59,1,"South_Korea","KR","KOR",51225321,"Asia",2020-06-18
"22609","19/06/2020",19,6,2020,49,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-19
"22608","20/06/2020",20,6,2020,67,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-20
"22607","21/06/2020",21,6,2020,48,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-21
"22606","22/06/2020",22,6,2020,17,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-22
"22605","23/06/2020",23,6,2020,46,1,"South_Korea","KR","KOR",51225321,"Asia",2020-06-23
"22604","24/06/2020",24,6,2020,51,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-24
"22603","25/06/2020",25,6,2020,28,1,"South_Korea","KR","KOR",51225321,"Asia",2020-06-25
"22602","26/06/2020",26,6,2020,39,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-26
"22601","27/06/2020",27,6,2020,51,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-27
"22600","28/06/2020",28,6,2020,62,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-28
"22599","29/06/2020",29,6,2020,42,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-29
"22598","30/06/2020",30,6,2020,43,0,"South_Korea","KR","KOR",51225321,"Asia",2020-06-30
